,taxon_id,GCF_000002765.6_genus,GCF_000007345.1_genus,GCF_000012325.1_genus,GCF_000016525.1_genus,GCF_000063445.1_genus,GCF_000150955.2_genus,GCF_000204415.1_genus,GCF_000208865.1_genus,GCF_000967895.1_genus,GCF_001653755.1_genus,GCF_002287195.1_genus,GCF_002310855.1_genus,GCF_009362255.1_genus,GCF_030704535.1_genus,GCF_032362555.1_genus
Auxenochlorella,191392.0,,,,,,,,,,,,,,8.142857142857143e-05,6.363636363636363e-06
Scytonema,1203.0,,,,,,,,,,,,,,8.095238095238095e-05,
Planktothrix,54304.0,,,,,,,,,,,,,,8e-05,1.5151515151515152e-06
Microbacterium,33882.0,,,,,,,,,,,,,,7e-05,0.0002896969696969697
Furfurilactobacillus,2767882.0,,,,,,,,,,,,,,6.80952380952381e-05,
Robertmurraya,2837507.0,,,,,,,,,,,,,,6.285714285714286e-05,
Sphingobacterium,28453.0,,,,,,,,,,,,,,6.047619047619048e-05,2.7272727272727272e-06
Arthrobacter,1663.0,,,,,,,,,,,,,,5.857142857142857e-05,6.060606060606061e-07
Bathycoccus,41874.0,,,,,,,,,,,,,,5.095238095238095e-05,3.0303030303030305e-06
Valsa,83174.0,,,,,,,,,,,,,,5.095238095238095e-05,3.0303030303030305e-07
Lysinibacillus,400634.0,,,,,,,,,,,,,,5.095238095238095e-05,3.0303030303030305e-07
Mycoplasmopsis,2767358.0,,,,,,,,,,,,,,4.857142857142857e-05,
Erysipelatoclostridium,1505663.0,,,,,,,,,,,,,,4.380952380952381e-05,
Phascolarctobacterium,33024.0,,,,,,,,,,,,,,4.238095238095238e-05,
Coprobacillus,100883.0,,,,,,,,,,,,,,4.0476190476190474e-05,
Gonium,33096.0,,,,,,,,,,,,,,3.9523809523809526e-05,9.09090909090909e-07
Sinorhizobium,28105.0,,,,,,,,,,,,,,3.619047619047619e-05,
Actinoplanes,1865.0,,,,,,,,,,,,,,3.380952380952381e-05,1.2121212121212122e-06
Nitrosospira,35798.0,,,,,,,,,,,,,,3.380952380952381e-05,3.0303030303030305e-07
Pectobacterium,122277.0,,,,,,,,,,,,,,3.285714285714286e-05,
Plesiomonas,702.0,,,,,,,,,,,,,,2.9523809523809523e-05,
Alteraurantiacibacter,2800678.0,,,,,,,,,,,,,,2.9523809523809523e-05,
Microcystis,1125.0,,,,,,,,,,,,,,2.904761904761905e-05,
Mycobacteroides,670516.0,,,,,,,,,,,,,,2.904761904761905e-05,9.09090909090909e-07
Caulerpa,76312.0,,,,,,,,,,,,,,2.761904761904762e-05,
Pyrenophora,5027.0,,,,,,,,,,,,,,2.7142857142857144e-05,
Monoraphidium,34111.0,,,,,,,,,,,,,,2.6666666666666667e-05,5.151515151515151e-06
Salipiger,263377.0,,,,,,,,,,,,,,2.5238095238095237e-05,
Segetibacter,460073.0,,,,,,,,,,,,,,2.5238095238095237e-05,
Bulboplastis,1292369.0,,,,,,,,,,,,,,2.5238095238095237e-05,
Lysobacter,68.0,,,,,,,,,,,,,,2.4761904761904762e-05,
Neocallimastix,4756.0,,,,,,,,,,,,,,2.1428571428571428e-05,7.272727272727272e-06
Fusarium,5506.0,,,,,,,,,,,,,,2.1428571428571428e-05,7.575757575757576e-06
Kribbella,182639.0,,,,,,,,,,,,,,2.0952380952380954e-05,
Haematococcus,44744.0,,,,,,,,,,,,,,1.9523809523809524e-05,4.242424242424242e-06
Dickeya,204037.0,,,,,,,,,,,,,,1.8095238095238094e-05,2.7272727272727272e-06
Astrephomene,47772.0,,,,,,,,,,,,,,1.761904761904762e-05,3.939393939393939e-06
Listeria,1637.0,,,,,,,,,,,,,,1.7142857142857142e-05,6.939393939393939e-05
Synchytrium,286114.0,,,,,,,,,,,,,,1.7142857142857142e-05,2.818181818181818e-05
Ligilactobacillus,2767887.0,,,,,,,,,,,,,,1.7142857142857142e-05,
Macrophomina,35724.0,,,,,,,,,,,,,,1.6666666666666667e-05,
Bondarzewia,40421.0,,,,,,,,,,,,,,1.6666666666666667e-05,1.2121212121212122e-06
Westiellopsis,221285.0,,,,,,,,,,,,,,1.619047619047619e-05,
Latilactobacillus,2767885.0,,,,,,,,,,,,,,1.619047619047619e-05,
Geobacillus,129337.0,,,,,,,,,,,,,,1.5714285714285715e-05,1.2121212121212122e-06
Thalassococcus,436357.0,,,,,,,,,,,,,,1.5714285714285715e-05,
Aliidiomarina,1249554.0,,,,,,,,,,,,,,1.5714285714285715e-05,
Dictyostelium,5782.0,,,,,,,,,,,,,,1.5238095238095238e-05,1.2121212121212122e-05
Picocystis,88270.0,,,,,,,,,,,,,,1.5238095238095238e-05,
Gluconobacter,441.0,,,,,,,,,,,,,,1.4285714285714285e-05,3.0303030303030305e-07
Pelagicola,765413.0,,,,,,,,,,,,,,1.4285714285714285e-05,
Edaphochlamys,2594176.0,,,,,,,,,,,,,,1.4285714285714285e-05,9.09090909090909e-07
Tilletia,13289.0,,,,,,,,,,,,,,1.3333333333333333e-05,6.96969696969697e-06
Thermogemmatispora,768669.0,,,,,,,,,,,,,,1.2857142857142857e-05,
Chondrus,2768.0,,,,,,,,,,,,,,1.1428571428571429e-05,9.090909090909091e-06
Thecamonas,877559.0,,,,,,,,,,,,,,1.1428571428571429e-05,1.8181818181818182e-05
Puteibacter,2705385.0,,,,,,,,,,,,,,1.0952380952380953e-05,3.0303030303030305e-07
Nostoc,1177.0,,,,,,,,,,,,,,1.0476190476190477e-05,9.09090909090909e-07
Gracilariopsis,2781.0,,,,,,,,,,,,,,1.0476190476190477e-05,3.0303030303030305e-06
Paracraurococcus,77674.0,,,,,,,,,,,,,,1.0476190476190477e-05,
Collinsella,102106.0,,,,,,,,,,,,,,1.0476190476190477e-05,
Rodentibacter,1960084.0,,,,,,,,,,,,,,1.0476190476190477e-05,
Xanthomonas,338.0,,,,,,,,,,,,,,1e-05,0.0006551515151515152
Tissierella,41273.0,,,,,,,,,,,,,,1e-05,6.96969696969697e-06
Microspora,163316.0,,,,,,,,,,,,,,1e-05,
Paraclostridium,1849822.0,,,,,,,,,,,,,,9.523809523809523e-06,
Bodo,5712.0,,,,,,,,,,,,,,9.047619047619047e-06,4.5454545454545455e-06
Powellomyces,109893.0,,,,,,,,,,,,,,9.047619047619047e-06,1.2121212121212122e-05
Porphyromonas,836.0,,,,,,,,,,,,,,8.571428571428571e-06,1.2121212121212122e-06
Olpidium,70188.0,,,,,,,,,,,,,,8.571428571428571e-06,5.151515151515151e-06
Polytomella,3049.0,,,,,,,,,,,,,,7.619047619047619e-06,
Galerina,109632.0,,,,,,,,,,,,,,7.619047619047619e-06,9.09090909090909e-07
Cavenderia,2058187.0,,,,,,,,,,,,,,7.619047619047619e-06,7.878787878787878e-06
Heterostelium,2058189.0,,,,,,,,,,,,,,7.619047619047619e-06,6.666666666666667e-06
Prochlorothrix,1222.0,,,,,,,,,,,,,,7.142857142857143e-06,
Lentinula,5352.0,,,,,,,,,,,,,,7.142857142857143e-06,3.0303030303030305e-07
Stenotrophomonas,40323.0,,,,,,,,,,,,,,7.142857142857143e-06,
Reticulomyxa,46432.0,,,,,,,,,,,,,,6.666666666666667e-06,6.363636363636363e-06
Nesterenkonia,57494.0,,,,,,,,,,,,,,6.666666666666667e-06,6.060606060606061e-07
Raoultella,160674.0,,,,,,,,,,,,,,6.666666666666667e-06,3.0303030303030305e-07
Claroideoglomus,1129545.0,,,,,,,,,,,,,,6.666666666666667e-06,3.636363636363636e-06
Muribaculum,1918540.0,,,,,,,,,,,,,,6.666666666666667e-06,
Tieghemostelium,2058951.0,,,,,,,,,,,,,,6.666666666666667e-06,1e-05
Mortierella,4855.0,,,,,,,,,,,,,,6.190476190476191e-06,1.696969696969697e-05
Serendipita,358905.0,,,,,,,,,,,,,,6.190476190476191e-06,2.121212121212121e-06
Barnesiella,397864.0,,,,,,,,,,,,,,6.190476190476191e-06,
Ambispora,453566.0,,,,,,,,,,,,,,6.190476190476191e-06,1.0606060606060606e-05
Fredinandcohnia,2837501.0,,,,,,,,,,,,,,6.190476190476191e-06,
Treponema,157.0,,,,,,,,,,,,,,5.7142857142857145e-06,6.060606060606061e-07
Erwinia,551.0,,,,,,,,,,,,,,5.7142857142857145e-06,
Agaricus,5340.0,,,,,,,,,,,,,,5.7142857142857145e-06,9.09090909090909e-07
Thamnocephalis,78914.0,,,,,,,,,,,,,,5.7142857142857145e-06,1e-05
Pyrrhoderma,175660.0,,,,,,,,,,,,,,5.7142857142857145e-06,3.0303030303030305e-07
Homoserinimonas,1434009.0,,,,,,,,,,,,,,5.7142857142857145e-06,
Allomyces,28581.0,,,,,,,,,,,,,,5.2380952380952384e-06,1.606060606060606e-05
Microbotryum,34416.0,,,,,,,,,,,,,,5.2380952380952384e-06,2.4242424242424244e-06
Apusomonas,41119.0,,,,,,,,,,,,,,5.2380952380952384e-06,
Cyanidioschyzon,45156.0,,,,,,,,,,,,,,5.2380952380952384e-06,1.5151515151515152e-06
Thraustotheca,74556.0,,,,,,,,,,,,,,5.2380952380952384e-06,1.818181818181818e-06
Monomastix,141715.0,,,,,,,,,,,,,,5.2380952380952384e-06,6.060606060606061e-07
Paraglomus,144537.0,,,,,,,,,,,,,,5.2380952380952384e-06,1.5151515151515151e-05
Absidia,4828.0,,,,,,,,,,,,,,4.7619047619047615e-06,4.242424242424242e-06
Claviceps,5110.0,,,,,,,,,,,,,,4.7619047619047615e-06,3.0303030303030305e-07
Nephroselmis,31311.0,,,,,,,,,,,,,,4.7619047619047615e-06,6.060606060606061e-07
Coprococcus,33042.0,,,,,,,,,,,,,,4.7619047619047615e-06,
Tetrapyrgos,182061.0,,,,,,,,,,,,,,4.7619047619047615e-06,3.0303030303030305e-07
Jimgerdemannia,2052799.0,,,,,,,,,,,,,,4.7619047619047615e-06,6.363636363636363e-06
Cyanidiococcus,2759657.0,,,,,,,,,,,,,,4.7619047619047615e-06,9.09090909090909e-07
Spiroplasma,2132.0,,,,,,,,,,,,,,4.2857142857142855e-06,
Ganoderma,5314.0,,,,,,,,,,,,,,4.2857142857142855e-06,
Saitoella,5605.0,,,,,,,,,,,,,,4.2857142857142855e-06,4.242424242424242e-06
Chytriomyces,109882.0,,,,,,,,,,,,,,4.2857142857142855e-06,1.1818181818181819e-05
Acytostelium,133407.0,,,,,,,,,,,,,,4.2857142857142855e-06,8.484848484848485e-06
Teratosphaeria,237584.0,,,,,,,,,,,,,,4.2857142857142855e-06,2.7272727272727272e-06
Clostridioides,1870884.0,,,,,,,,,,,,,,4.2857142857142855e-06,7.878787878787878e-06
Cafeteria,33652.0,,,,,,,,,,,,,,3.8095238095238094e-06,5.151515151515151e-06
Dimargaris,78924.0,,,,,,,,,,,,,,3.8095238095238094e-06,7.272727272727272e-06
Monosiga,81525.0,,,,,,,,,,,,,,3.8095238095238094e-06,0.00011363636363636364
Dissophora,101100.0,,,,,,,,,,,,,,3.8095238095238094e-06,3.0303030303030305e-06
Moniliophthora,221102.0,,,,,,,,,,,,,,3.8095238095238094e-06,6.060606060606061e-07
Friedmanniomyces,329881.0,,,,,,,,,,,,,,3.8095238095238094e-06,1.5151515151515152e-06
Blyttiomyces,388809.0,,,,,,,,,,,,,,3.8095238095238094e-06,1.2121212121212122e-05
Cetraspora,940661.0,,,,,,,,,,,,,,3.8095238095238094e-06,3.939393939393939e-06
Mongoliimonas,2027874.0,,,,,,,,,,,,,,3.8095238095238094e-06,
Linderina,4867.0,,,,,,,,,,,,,,3.3333333333333333e-06,2.121212121212121e-06
Colletotrichum,5455.0,,,,,,,,,,,,,,3.3333333333333333e-06,5.757575757575758e-06
Entomophthora,34484.0,,,,,,,,,,,,,,3.3333333333333333e-06,7.575757575757576e-06
Nitrospina,35800.0,,,,,,,,,,,,,,3.3333333333333333e-06,
Mycena,41247.0,,,,,,,,,,,,,,3.3333333333333333e-06,2.7272727272727272e-06
Leptographium,96312.0,,,,,,,,,,,,,,3.3333333333333333e-06,
Tetrasphaera,99479.0,,,,,,,,,,,,,,3.3333333333333333e-06,
Nakaseomyces,374468.0,,,,,,,,,,,,,,3.3333333333333333e-06,2.121212121212121e-06
Undibacterium,401469.0,,,,,,,,,,,,,,3.3333333333333333e-06,2.7272727272727272e-06
Caulochytrium,1555240.0,,,,,,,,,,,,,,3.3333333333333333e-06,7.272727272727272e-06
Halostella,1843185.0,,,,,,,,,,,,,,3.3333333333333333e-06,
Levilactobacillus,2767886.0,,,,,,,,,,,,,,3.3333333333333333e-06,
Calothrix,1186.0,,,,,,,,,,,,,,2.8571428571428573e-06,3.0303030303030305e-07
Prochlorococcus,1218.0,,,,,,,,,,,,,,2.8571428571428573e-06,
Phycomyces,4836.0,,,,,,,,,,,,,,2.8571428571428573e-06,6.060606060606061e-06
Tritrichomonas,5723.0,,,,,,,,,,,,,,2.8571428571428573e-06,4.242424242424242e-06
Diaporthe,36922.0,,,,,,,,,,,,,,2.8571428571428573e-06,
Weissella,46255.0,,,,,,,,,,,,,,2.8571428571428573e-06,
Armillaria,47424.0,,,,,,,,,,,,,,2.8571428571428573e-06,3.0303030303030305e-07
Apophysomyces,90268.0,,,,,,,,,,,,,,2.8571428571428573e-06,4.5454545454545455e-06
Hesseltinella,101126.0,,,,,,,,,,,,,,2.8571428571428573e-06,6.060606060606061e-06
Prasinococcus,110669.0,,,,,,,,,,,,,,2.8571428571428573e-06,3.0303030303030305e-07
Histomonas,135587.0,,,,,,,,,,,,,,2.8571428571428573e-06,1.2121212121212122e-06
Cyphellophora,226991.0,,,,,,,,,,,,,,2.8571428571428573e-06,
Cohnella,329857.0,,,,,,,,,,,,,,2.8571428571428573e-06,
Kipferlia,797121.0,,,,,,,,,,,,,,2.8571428571428573e-06,9.09090909090909e-07
Cecembia,1187078.0,,,,,,,,,,,,,,2.8571428571428573e-06,
Companilactobacillus,2767879.0,,,,,,,,,,,,,,2.8571428571428573e-06,
Caulobacter,75.0,,,,,,,,,,,,,,2.3809523809523808e-06,6.060606060606061e-07
Campylobacter,194.0,,,,,,,,,,,,,,2.3809523809523808e-06,1.818181818181818e-06
Bordetella,517.0,,,,,,,,,,,,,,2.3809523809523808e-06,
Rhodobacter,1060.0,,,,,,,,,,,,,,2.3809523809523808e-06,1.5151515151515152e-06
Aerococcus,1375.0,,,,,,,,,,,,,,2.3809523809523808e-06,6.060606060606061e-07
Micromonospora,1873.0,,,,,,,,,,,,,,2.3809523809523808e-06,1.5151515151515152e-06
Pachysolen,4917.0,,,,,,,,,,,,,,2.3809523809523808e-06,
Puccinia,5296.0,,,,,,,,,,,,,,2.3809523809523808e-06,4.9696969696969694e-05
Entamoeba,5758.0,,,,,,,,,,,,,,2.3809523809523808e-06,9.09090909090909e-07
Polysphondylium,13641.0,,,,,,,,,,,,,,2.3809523809523808e-06,4.848484848484849e-06
Neolecta,29825.0,,,,,,,,,,,,,,2.3809523809523808e-06,4.848484848484849e-06
Buchnera,32199.0,,,,,,,,,,,,,,2.3809523809523808e-06,
Conidiobolus,34487.0,,,,,,,,,,,,,,2.3809523809523808e-06,9.393939393939394e-06
Xylaria,37991.0,,,,,,,,,,,,,,2.3809523809523808e-06,9.09090909090909e-07
Sparassis,40466.0,,,,,,,,,,,,,,2.3809523809523808e-06,3.0303030303030305e-07
Ascodesmis,47182.0,,,,,,,,,,,,,,2.3809523809523808e-06,1.818181818181818e-06
Lachnellula,47830.0,,,,,,,,,,,,,,2.3809523809523808e-06,2.7272727272727272e-06
Ralstonia,48736.0,,,,,,,,,,,,,,2.3809523809523808e-06,
Sulfitobacter,60136.0,,,,,,,,,,,,,,2.3809523809523808e-06,
Syncephalis,78910.0,,,,,,,,,,,,,,2.3809523809523808e-06,6.363636363636363e-06
Anaeromyces,105135.0,,,,,,,,,,,,,,2.3809523809523808e-06,3.636363636363636e-06
Pseudovibrio,258255.0,,,,,,,,,,,,,,2.3809523809523808e-06,9.09090909090909e-07
Monocercomonoides,302781.0,,,,,,,,,,,,,,2.3809523809523808e-06,2.7272727272727272e-06
Sugiyamaella,410829.0,,,,,,,,,,,,,,2.3809523809523808e-06,1.9393939393939395e-05
Ophiocordyceps,474995.0,,,,,,,,,,,,,,2.3809523809523808e-06,1.2121212121212122e-05
Coleofasciculus,669368.0,,,,,,,,,,,,,,2.3809523809523808e-06,
Acidiferrobacter,986106.0,,,,,,,,,,,,,,2.3809523809523808e-06,
Moorena,1155738.0,,,,,,,,,,,,,,2.3809523809523808e-06,
Nitrolancea,1206748.0,,,,,,,,,,,,,,2.3809523809523808e-06,
Stygiella,1867836.0,,,,,,,,,,,,,,2.3809523809523808e-06,5.151515151515151e-06
Brucella,234.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Paracoccus,265.0,,,,,,,,,,,,,,1.9047619047619047e-06,1.818181818181818e-06
Methylobacillus,404.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Pseudanabaena,1152.0,,,,,,,,,,,,,,1.9047619047619047e-06,2.121212121212121e-06
Oscillatoria,1158.0,,,,,,,,,,,,,,1.9047619047619047e-06,3.0303030303030305e-07
Atractiella,5228.0,,,,,,,,,,,,,,1.9047619047619047e-06,5.151515151515151e-06
Chalara,13000.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Sphingomonas,13687.0,,,,,,,,,,,,,,1.9047619047619047e-06,3.636363636363636e-06
Panus,38807.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Plectosphaerella,40657.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Spirilliplanes,42232.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Microcoleus,44471.0,,,,,,,,,,,,,,1.9047619047619047e-06,3.0303030303030305e-07
Botryosphaeria,45132.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Terfezia,74855.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Duganella,75654.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Oidiodendron,78141.0,,,,,,,,,,,,,,1.9047619047619047e-06,6.060606060606061e-07
Roseospira,86671.0,,,,,,,,,,,,,,1.9047619047619047e-06,6.060606060606061e-07
Acidithiobacillus,119977.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Roseomonas,125216.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Trichomonascus,229045.0,,,,,,,,,,,,,,1.9047619047619047e-06,2.7272727272727272e-06
Trichoglossum,265103.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Roseivirga,290180.0,,,,,,,,,,,,,,1.9047619047619047e-06,6.060606060606061e-07
Lobosporangium,299330.0,,,,,,,,,,,,,,1.9047619047619047e-06,9.09090909090909e-07
Vulcanibacillus,551771.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Dolichospermum,748770.0,,,,,,,,,,,,,,1.9047619047619047e-06,1.818181818181818e-06
Madagascaria,753683.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Methylovulum,762296.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Haplosporangium,979650.0,,,,,,,,,,,,,,1.9047619047619047e-06,1.818181818181818e-06
Gomphoneis,1115525.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Zancudomyces,1213188.0,,,,,,,,,,,,,,1.9047619047619047e-06,2.7272727272727272e-06
Bifiguratus,2026842.0,,,,,,,,,,,,,,1.9047619047619047e-06,7.878787878787878e-06
Xanthovirga,2770110.0,,,,,,,,,,,,,,1.9047619047619047e-06,
Entomortierella,2779859.0,,,,,,,,,,,,,,1.9047619047619047e-06,4.848484848484849e-06
Gryganskiella,2779860.0,,,,,,,,,,,,,,1.9047619047619047e-06,9.09090909090909e-07
Hermanssonia,2904863.0,,,,,,,,,,,,,,1.9047619047619047e-06,6.060606060606061e-07
Hyphomicrobium,81.0,,,,,,,,,,,,,,1.4285714285714286e-06,1.818181818181818e-06
Stella,93.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Bdellovibrio,958.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Streptosporangium,2000.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Microbispora,2005.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Cyanophora,2761.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Ceratocystis,5157.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Filobasidium,5209.0,,,,,,,,,,,,,,1.4285714285714286e-06,1.818181818181818e-06
Ustilago,5269.0,,,,,,,,,,,,,,1.4285714285714286e-06,1.3333333333333333e-05
Metarhizium,5529.0,,,,,,,,,,,,,,1.4285714285714286e-06,1.818181818181818e-06
Trichoderma,5543.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.939393939393939e-06
Aureobasidium,5579.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.939393939393939e-06
Trichomonas,5721.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-06
Giardia,5740.0,,,,,,,,,,,,,,1.4285714285714286e-06,6.060606060606061e-07
Magnetospirillum,13134.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Cronartium,27353.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Nosema,27977.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.3333333333333333e-06
Sulfobacillus,28033.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Alicyclobacillus,29330.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Hanseniaspora,29832.0,,,,,,,,,,,,,,1.4285714285714286e-06,1.818181818181818e-06
Gloeobacter,33071.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Bipolaris,33194.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Pleurastrum,34114.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Mixia,34348.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.3333333333333333e-06
Blumeria,34372.0,,,,,,,,,,,,,,1.4285714285714286e-06,6.060606060606061e-07
Leucoagaricus,34433.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Hebeloma,34453.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Fomitopsis,34474.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Botryococcus,38880.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Geotrichum,43987.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.939393939393939e-06
Hyaloscypha,47747.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Reclinomonas,48482.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Chlorociboria,54692.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Choanephora,64498.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.636363636363636e-06
Lepidodinium,66470.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Lepocinclis,66846.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Cyathus,68776.0,,,,,,,,,,,,,,1.4285714285714286e-06,9.09090909090909e-07
Botryobasidium,68793.0,,,,,,,,,,,,,,1.4285714285714286e-06,6.060606060606061e-07
Peronospora,70742.0,,,,,,,,,,,,,,1.4285714285714286e-06,2.4242424242424244e-06
Dechloromonas,73029.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Gautieria,80643.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Antrodiella,81041.0,,,,,,,,,,,,,,1.4285714285714286e-06,9.09090909090909e-07
Colacium,102909.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Ramularia,112497.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Syntrophothermus,129001.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Alkalilimnicola,133193.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Bisporella,155149.0,,,,,,,,,,,,,,1.4285714285714286e-06,9.09090909090909e-07
Tirmania,160516.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Cyanobium,167375.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Rhodoblastus,168658.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Coniella,172190.0,,,,,,,,,,,,,,1.4285714285714286e-06,1.818181818181818e-06
Salinisphaera,180541.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Watanabea,191672.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Acaromyces,215249.0,,,,,,,,,,,,,,1.4285714285714286e-06,9.09090909090909e-07
Chamaesiphon,217161.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Phellopilus,218113.0,,,,,,,,,,,,,,1.4285714285714286e-06,6.060606060606061e-07
Hyalangium,224455.0,,,,,,,,,,,,,,1.4285714285714286e-06,1.2121212121212122e-06
Pyxidicoccus,224458.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Thozetella,239050.0,,,,,,,,,,,,,,1.4285714285714286e-06,9.09090909090909e-07
Methylohalobius,244364.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Nitratireductor,245876.0,,,,,,,,,,,,,,1.4285714285714286e-06,9.09090909090909e-07
Pyrenochaeta,285810.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Pontibacillus,289201.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Lachancea,300275.0,,,,,,,,,,,,,,1.4285714285714286e-06,1.2121212121212122e-06
Ceratiomyxa,435414.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Kwoniella,490731.0,,,,,,,,,,,,,,1.4285714285714286e-06,1.2121212121212122e-06
Luteolibacter,518753.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Lineolata,578092.0,,,,,,,,,,,,,,1.4285714285714286e-06,9.09090909090909e-07
Rubidibacter,582491.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Racocetra,940663.0,,,,,,,,,,,,,,1.4285714285714286e-06,9.393939393939394e-06
Chloroidium,1034479.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Rasamsonia,1132856.0,,,,,,,,,,,,,,1.4285714285714286e-06,1.2121212121212122e-06
Gloeomargarita,1188227.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Scotinosphaera,1199100.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Alloprevotella,1283313.0,,,,,,,,,,,,,,1.4285714285714286e-06,6.060606060606061e-07
Aureivirga,1433990.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Pseudooceanicola,1679449.0,,,,,,,,,,,,,,1.4285714285714286e-06,1.2121212121212122e-06
Flexilinea,1769713.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Cutaneotrichosporon,1838142.0,,,,,,,,,,,,,,1.4285714285714286e-06,6.060606060606061e-07
Zestosphaera,2303493.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Thermoleptolyngbya,2303528.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Lujinxingia,2653226.0,,,,,,,,,,,,,,1.4285714285714286e-06,6.060606060606061e-07
Leptodesmis,2664261.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Lacticaseibacillus,2759736.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Caulifigura,2795778.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Neoporphyra,2801325.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Humisphaera,2807511.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Adhaeretor,2862451.0,,,,,,,,,,,,,,1.4285714285714286e-06,
Fulvia,2897311.0,,,,,,,,,,,,,,1.4285714285714286e-06,3.0303030303030305e-07
Archangium,47.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Vitreoscilla,59.0,,,,,,,,,,,,,,9.523809523809523e-07,
Achromobacter,222.0,,,,,,,,,,,,,,9.523809523809523e-07,
Coxiella,776.0,,,,,,,,,,,,,,9.523809523809523e-07,
Nitrosomonas,914.0,,,,,,,,,,,,,,9.523809523809523e-07,6.060606060606061e-07
