,taxon_id,GCF_000002765.6_species,GCF_000007345.1_species,GCF_000012325.1_species,GCF_000016525.1_species,GCF_000063445.1_species,GCF_000150955.2_species,GCF_000204415.1_species,GCF_000208865.1_species,GCF_000967895.1_species,GCF_001653755.1_species,GCF_002287195.1_species,GCF_002310855.1_species,GCF_009362255.1_species,GCF_030704535.1_species,GCF_032362555.1_species
Tomitella fengzijianii,2597660.0,,,,,,,,,,,,,,9.523809523809523e-07,
Acinetobacter sp. Q66-1,2601016.0,,,,,,,,,,,,,,9.523809523809523e-07,
Melanogaster broomeanus,2655010.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Alicyclobacillus sp. SO9,2665646.0,,,,,,,,,,,,,,9.523809523809523e-07,
Chelativorans sp. ZYF759,2692213.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Microcoleus sp. FACHB-1515,2692821.0,,,,,,,,,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Oscillatoria sp. FACHB-1407,2692847.0,,,,,,,,,,,,,,9.523809523809523e-07,
Halomonas sp. MCCC 1A11036,2733481.0,,,,,,,,,,,,,,9.523809523809523e-07,
Protomyces lactucae-debilis,2754530.0,,,,,,,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Xerocomellus atropurpureus,2768408.0,,,,,,,,,,,,,,9.523809523809523e-07,
Frigoriglobus tundricola,2774151.0,,,,,,,,,,,,,,9.523809523809523e-07,
Rickettsia endosymbiont of Cardiosporidium cionae,2777155.0,,,,,,,,,,,,,,9.523809523809523e-07,
Streptomyces acididurans,2784346.0,,,,,,,,,,,,,,9.523809523809523e-07,
Nocardia bovistercoris,2785916.0,,,,,,,,,,,,,,9.523809523809523e-07,
Desulfoluna sp. ASN36,2810562.0,,,,,,,,,,,,,,9.523809523809523e-07,
Sulfurospirillum sp. T05,2813362.0,,,,,,,,,,,,,,9.523809523809523e-07,
Vibrio sp. Vb0592,2816072.0,,,,,,,,,,,,,,9.523809523809523e-07,
Vibrio sp. Vb2880,2816076.0,,,,,,,,,,,,,,9.523809523809523e-07,
Deinococcus sp. GbtcB9,2824754.0,,,,,,,,,,,,,,9.523809523809523e-07,
Shewanella sp. NIFS-20-20,2853806.0,,,,,,,,,,,,,,9.523809523809523e-07,
Paraburkholderia sp. HP33-1,2883243.0,,,,,,,,,,,,,,9.523809523809523e-07,
Flavobacterium salilacus,2898423.0,,,,,,,,,,,,,,9.523809523809523e-07,1.2121212121212122e-06
Anaeromyxobacter sp. Red232,2918170.0,,,,,,,,,,,,,,9.523809523809523e-07,
Hyphomicrobium sp.,82.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Stella humosa,94.0,,,,,,,,,,,,,,4.761904761904762e-07,
Cyclobacterium marinum,104.0,,,,,,,,,,,,,,4.761904761904762e-07,
Azospirillum brasilense,192.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Xanthomonas campestris,339.0,,,,,,,,,,,,,,4.761904761904762e-07,
Coxiella burnetii,777.0,,,,,,,,,,,,,,4.761904761904762e-07,
Desulfocurvibacter africanus,873.0,,,,,,,,,,,,,,4.761904761904762e-07,
Bernardetia litoralis,999.0,,,,,,,,,,,,,,4.761904761904762e-07,
Hugenholtzia roseola,1002.0,,,,,,,,,,,,,,4.761904761904762e-07,
Marinoscillum furvescens,1026.0,,,,,,,,,,,,,,4.761904761904762e-07,
Thiothrix sp.,1032.0,,,,,,,,,,,,,,4.761904761904762e-07,
Chlorobium limicola,1092.0,,,,,,,,,,,,,,4.761904761904762e-07,
Chlorogloeopsis fritschii,1124.0,,,,,,,,,,,,,,4.761904761904762e-07,
Oscillatoriales cyanobacterium,1151.0,,,,,,,,,,,,,,4.761904761904762e-07,
Streptococcus sanguinis,1305.0,,,,,,,,,,,,,,4.761904761904762e-07,
Streptococcus suis,1307.0,,,,,,,,,,,,,,4.761904761904762e-07,1.818181818181818e-06
Lacticaseibacillus casei,1582.0,,,,,,,,,,,,,,4.761904761904762e-07,
Mycolicibacterium smegmatis,1772.0,,,,,,,,,,,,,,4.761904761904762e-07,
Mycobacterium ulcerans,1809.0,,,,,,,,,,,,,,4.761904761904762e-07,
Thermomonospora echinospora,1992.0,,,,,,,,,,,,,,4.761904761904762e-07,
Mycoplasma pneumoniae,2104.0,,,,,,,,,,,,,,4.761904761904762e-07,
Cyanidium caldarium,2771.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Oxyrrhis marina,2969.0,,,,,,,,,,,,,,4.761904761904762e-07,
Pseudochlorella pringsheimii,3072.0,,,,,,,,,,,,,,4.761904761904762e-07,
Parachlorella kessleri,3074.0,,,,,,,,,,,,,,4.761904761904762e-07,
Chlorella vulgaris,3077.0,,,,,,,,,,,,,,4.761904761904762e-07,
Auxenochlorella pyrenoidosa,3078.0,,,,,,,,,,,,,,4.761904761904762e-07,
Prototheca wickerhamii,3111.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Ulva prolifera,3117.0,,,,,,,,,,,,,,4.761904761904762e-07,
Spermatozopsis similis,3192.0,,,,,,,,,,,,,,4.761904761904762e-07,
Phytophthora capsici,4784.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Rhizopus stolonifer,4846.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Millerozyma farinosa,4920.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Komagataella pastoris,4922.0,,,,,,,,,,,,,,4.761904761904762e-07,
Wickerhamomyces anomalus,4927.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Lachancea fermentati,4955.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Debaryomyces hansenii,4959.0,,,,,,,,,,,,,,4.761904761904762e-07,
Kockovaella imperatae,4999.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Sporidiobolus salmonicolor,5005.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-06
Brettanomyces bruxellensis,5007.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Aspergillus clavatus,5057.0,,,,,,,,,,,,,,4.761904761904762e-07,
Amorphotheca resinae,5101.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Ascobolus immersus,5191.0,,,,,,,,,,,,,,4.761904761904762e-07,2.4242424242424244e-06
Exidia glandulosa,5219.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Tilletiaria anomala,5281.0,,,,,,,,,,,,,,4.761904761904762e-07,2.121212121212121e-06
Puccinia graminis,5297.0,,,,,,,,,,,,,,4.761904761904762e-07,5.4545454545454545e-06
Agaricus bisporus,5341.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Lentinus tigrinus,5365.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Colletotrichum truncatum,5467.0,,,,,,,,,,,,,,4.761904761904762e-07,
[Candida] boidinii,5477.0,,,,,,,,,,,,,,4.761904761904762e-07,2.4242424242424244e-06
Diutina rugosa,5481.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Candida viswanathii,5486.0,,,,,,,,,,,,,,4.761904761904762e-07,
Trametes cinnabarina,5643.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Leishmania enriettii,5663.0,,,,,,,,,,,,,,4.761904761904762e-07,
Leptomonas seymouri,5684.0,,,,,,,,,,,,,,4.761904761904762e-07,
Trypanosoma rangeli,5698.0,,,,,,,,,,,,,,4.761904761904762e-07,
Giardia intestinalis,5741.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Physarum polycephalum,5791.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Paramecium primaurelia,5886.0,,,,,,,,,,,,,,4.761904761904762e-07,
Opisthonecta henneguyi,6026.0,,,,,,,,,,,,,,4.761904761904762e-07,
Encephalitozoon cuniculi,6035.0,,,,,,,,,,,,,,4.761904761904762e-07,
Thiocystis violacea,13725.0,,,,,,,,,,,,,,4.761904761904762e-07,
Naumovozyma castellii,27288.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Naumovozyma dairenensis,27289.0,,,,,,,,,,,,,,4.761904761904762e-07,1.818181818181818e-06
Schizopora paradoxa,27342.0,,,,,,,,,,,,,,4.761904761904762e-07,2.4242424242424244e-06
Puccinia striiformis,27350.0,,,,,,,,,,,,,,4.761904761904762e-07,3.9696969696969695e-05
Nosema bombycis,27978.0,,,,,,,,,,,,,,4.761904761904762e-07,
Ruminiclostridium cellobioparum,29355.0,,,,,,,,,,,,,,4.761904761904762e-07,
Desulfomicrobium escambiense,29503.0,,,,,,,,,,,,,,4.761904761904762e-07,
Calocera cornea,29889.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Rhodotorula graminis,29898.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Thermostichus lividus,33070.0,,,,,,,,,,,,,,4.761904761904762e-07,
Entamoeba invadens,33085.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Uncinocarpus reesii,33188.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Catenuloplanes japonicus,33876.0,,,,,,,,,,,,,,4.761904761904762e-07,
Microbacterium arborescens,33883.0,,,,,,,,,,,,,,4.761904761904762e-07,0.0002896969696969697
Caryophanon tenue,33978.0,,,,,,,,,,,,,,4.761904761904762e-07,
Rhodobium orientis,34017.0,,,,,,,,,,,,,,4.761904761904762e-07,
Candidatus Liberibacter sp.,34022.0,,,,,,,,,,,,,,4.761904761904762e-07,
Variovorax paradoxus,34073.0,,,,,,,,,,,,,,4.761904761904762e-07,
Scytonema hofmannii,34078.0,,,,,,,,,,,,,,4.761904761904762e-07,
Kazachstania exigua,34358.0,,,,,,,,,,,,,,4.761904761904762e-07,
Parasitella parasitica,35722.0,,,,,,,,,,,,,,4.761904761904762e-07,6.363636363636363e-06
Aspergillus fischeri,36630.0,,,,,,,,,,,,,,4.761904761904762e-07,
Aspergillus avenaceus,36643.0,,,,,,,,,,,,,,4.761904761904762e-07,
Volvariella volvacea,36659.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Thiobacillus denitrificans,36861.0,,,,,,,,,,,,,,4.761904761904762e-07,
Clavispora lusitaniae,36911.0,,,,,,,,,,,,,,4.761904761904762e-07,1.5151515151515152e-06
Stichococcus bacillaris,37433.0,,,,,,,,,,,,,,4.761904761904762e-07,
Chaetomium globosum,38033.0,,,,,,,,,,,,,,4.761904761904762e-07,
Hypsizygus marmoreus,39966.0,,,,,,,,,,,,,,4.761904761904762e-07,
Fusarium avenaceum,40199.0,,,,,,,,,,,,,,4.761904761904762e-07,
Nosema ceranae,40302.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Desulforhopalus vacuolatus,40414.0,,,,,,,,,,,,,,4.761904761904762e-07,
Daedalea quercina,40437.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Plectosphaerella cucumerina,40658.0,,,,,,,,,,,,,,4.761904761904762e-07,
Elsinoe fawcettii,40997.0,,,,,,,,,,,,,,4.761904761904762e-07,
Choricystis parasitica,41300.0,,,,,,,,,,,,,,4.761904761904762e-07,
Candidatus Microthrix parvicella,41950.0,,,,,,,,,,,,,,4.761904761904762e-07,
Paramecium octaurelia,43137.0,,,,,,,,,,,,,,4.761904761904762e-07,
Ulothrix zonata,43941.0,,,,,,,,,,,,,,4.761904761904762e-07,
Paenibacillus macerans,44252.0,,,,,,,,,,,,,,4.761904761904762e-07,
Nitrosomonas cryotolerans,44575.0,,,,,,,,,,,,,,4.761904761904762e-07,
Choiromyces venosus,44640.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Gigaspora rosea,44941.0,,,,,,,,,,,,,,4.761904761904762e-07,2.121212121212121e-06
Eremothecium cymbalariae,45285.0,,,,,,,,,,,,,,4.761904761904762e-07,
Scheffersomyces spartinae,45513.0,,,,,,,,,,,,,,4.761904761904762e-07,1.5151515151515152e-06
Desulfonema ishimotonii,45657.0,,,,,,,,,,,,,,4.761904761904762e-07,
Nadsonia fulvescens,45786.0,,,,,,,,,,,,,,4.761904761904762e-07,3.3333333333333333e-06
Nocardia pseudobrasiliensis,45979.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Spirochaeta africana,46355.0,,,,,,,,,,,,,,4.761904761904762e-07,
Aureobasidium melanogenum,46634.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Entamoeba dispar,46681.0,,,,,,,,,,,,,,4.761904761904762e-07,
Leptolyngbya foveolarum,47253.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Leptolyngbya sp.,47254.0,,,,,,,,,,,,,,4.761904761904762e-07,
Dactylellina cionopaga,47266.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Volvox dissipatrix,47288.0,,,,,,,,,,,,,,4.761904761904762e-07,
Basichlamys sacculifera,47779.0,,,,,,,,,,,,,,4.761904761904762e-07,
Artomyces pyxidatus,48021.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Phanerochaete sordida,48140.0,,,,,,,,,,,,,,4.761904761904762e-07,2.4242424242424244e-06
Rickenella mellea,50990.0,,,,,,,,,,,,,,4.761904761904762e-07,
Volvulina steinii,51722.0,,,,,,,,,,,,,,4.761904761904762e-07,
Erysiphe necator,52586.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Hamadaea tsunoensis,53368.0,,,,,,,,,,,,,,4.761904761904762e-07,
Hyphomicrobium denitrificans,53399.0,,,,,,,,,,,,,,4.761904761904762e-07,
Pyrenophora teres,53485.0,,,,,,,,,,,,,,4.761904761904762e-07,
Brevibacillus reuszeri,54915.0,,,,,,,,,,,,,,4.761904761904762e-07,
Tilletiopsis washingtonensis,58919.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Tuber aestivum,59557.0,,,,,,,,,,,,,,4.761904761904762e-07,
Coniosporium apollinis,61459.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Lamprocystis purpurea,61598.0,,,,,,,,,,,,,,4.761904761904762e-07,
Claviceps citrina,62069.0,,,,,,,,,,,,,,4.761904761904762e-07,
Microsporum canis,63405.0,,,,,,,,,,,,,,4.761904761904762e-07,
Nevskia ramosa,64002.0,,,,,,,,,,,,,,4.761904761904762e-07,
Podila minutissima,64525.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Pantoea stewartii,66269.0,,,,,,,,,,,,,,4.761904761904762e-07,
Streptomyces aureoverticillatus,66871.0,,,,,,,,,,,,,,4.761904761904762e-07,
Phytophthora sojae,67593.0,,,,,,,,,,,,,,4.761904761904762e-07,
Streptomyces geysiriensis,68207.0,,,,,,,,,,,,,,4.761904761904762e-07,
Streptomyces glomeroaurantiacus,68210.0,,,,,,,,,,,,,,4.761904761904762e-07,
Streptomyces pactum,68249.0,,,,,,,,,,,,,,4.761904761904762e-07,
Caulobacter henricii,69395.0,,,,,,,,,,,,,,4.761904761904762e-07,
Bacillus mojavensis,72360.0,,,,,,,,,,,,,,4.761904761904762e-07,
Alloprevotella tannerae,76122.0,,,,,,,,,,,,,,4.761904761904762e-07,
Malassezia pachydermatis,77020.0,,,,,,,,,,,,,,4.761904761904762e-07,1.818181818181818e-06
Laminaria digitata,80365.0,,,,,,,,,,,,,,4.761904761904762e-07,
Coniophora puteana,80637.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Haliangium ochraceum,80816.0,,,,,,,,,,,,,,4.761904761904762e-07,
Colletotrichum higginsianum,80884.0,,,,,,,,,,,,,,4.761904761904762e-07,
Terfezia boudieri,82571.0,,,,,,,,,,,,,,4.761904761904762e-07,
Nosema granulosis,83296.0,,,,,,,,,,,,,,4.761904761904762e-07,2.4242424242424244e-06
Desulfonispora thiosulfatigenes,83661.0,,,,,,,,,,,,,,4.761904761904762e-07,
Ulva taeniata,83797.0,,,,,,,,,,,,,,4.761904761904762e-07,
delta proteobacterium NaphS2,88274.0,,,,,,,,,,,,,,4.761904761904762e-07,
Ceratocystis platani,88771.0,,,,,,,,,,,,,,4.761904761904762e-07,
Absidia caerulea,90261.0,,,,,,,,,,,,,,4.761904761904762e-07,
Metarhizium album,92629.0,,,,,,,,,,,,,,4.761904761904762e-07,
Azospirillum sp. B4,95605.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Eutypa lata,97096.0,,,,,,,,,,,,,,4.761904761904762e-07,
Prymnesium parvum,97485.0,,,,,,,,,,,,,,4.761904761904762e-07,
Chloroherpeton thalassium,100716.0,,,,,,,,,,,,,,4.761904761904762e-07,
Madurella mycetomatis,100816.0,,,,,,,,,,,,,,4.761904761904762e-07,
Gamsiella multidivaricata,101098.0,,,,,,,,,,,,,,4.761904761904762e-07,1.5151515151515152e-06
Thamnidium elegans,101142.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Phycicoccus elongatus,101689.0,,,,,,,,,,,,,,4.761904761904762e-07,
Glarea lozoyensis,101852.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Gloeocapsa sp. PCC 73106,102232.0,,,,,,,,,,,,,,4.761904761904762e-07,
Chlamydomonas sp. W80,103365.0,,,,,,,,,,,,,,4.761904761904762e-07,
Gloeophyllum trabeum,104355.0,,,,,,,,,,,,,,4.761904761904762e-07,
Naganishia liquefaciens,104408.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-06
Apiotrichum porosum,105984.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Leucosporidium creatinivorum,106004.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Cupriavidus necator,106590.0,,,,,,,,,,,,,,4.761904761904762e-07,
Phytophthora boehmeriae,109152.0,,,,,,,,,,,,,,4.761904761904762e-07,
Gymnopilus junonius,109634.0,,,,,,,,,,,,,,4.761904761904762e-07,
Lactarius quietus,111141.0,,,,,,,,,,,,,,4.761904761904762e-07,
Geitlerinema sp. PCC 9228,111611.0,,,,,,,,,,,,,,4.761904761904762e-07,
Aphanomyces cochlioides,112091.0,,,,,,,,,,,,,,4.761904761904762e-07,
Actinoplanes rectilineatus,113571.0,,,,,,,,,,,,,,4.761904761904762e-07,
Hyphomicrobium sp. GJ21,113574.0,,,,,,,,,,,,,,4.761904761904762e-07,
Tricholomella constricta,117010.0,,,,,,,,,,,,,,4.761904761904762e-07,
Tephrocybe rancida,117070.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Pseudomonas gingeri,117681.0,,,,,,,,,,,,,,4.761904761904762e-07,
Dichotomosiphon tuberosus,118263.0,,,,,,,,,,,,,,4.761904761904762e-07,
Oscillatoria acuminata,118323.0,,,,,,,,,,,,,,4.761904761904762e-07,
Alternaria atra,119953.0,,,,,,,,,,,,,,4.761904761904762e-07,
Ustilago hordei,120017.0,,,,,,,,,,,,,,4.761904761904762e-07,
Pseudomonas psychrophila,122355.0,,,,,,,,,,,,,,4.761904761904762e-07,
Thiobaca trueperi,127458.0,,,,,,,,,,,,,,4.761904761904762e-07,
[Candida] arabinofermentans,130810.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Saccharata proteae,131308.0,,,,,,,,,,,,,,4.761904761904762e-07,
Smittium megazygosporum,133381.0,,,,,,,,,,,,,,4.761904761904762e-07,3.939393939393939e-06
Phytomonas sp. isolate Hart1,134013.0,,,,,,,,,,,,,,4.761904761904762e-07,
Cercospora zeae-maydis,135779.0,,,,,,,,,,,,,,4.761904761904762e-07,
Geovibrio thiophilus,139438.0,,,,,,,,,,,,,,4.761904761904762e-07,
Bangiopsis subsimplex,139980.0,,,,,,,,,,,,,,4.761904761904762e-07,
Thermosynechococcus vestitus,146786.0,,,,,,,,,,,,,,4.761904761904762e-07,
Piedraia hortae,147573.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Caulerpa cupressoides,148945.0,,,,,,,,,,,,,,4.761904761904762e-07,
Mollisia scopiformis,149040.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Trametes pubescens,154538.0,,,,,,,,,,,,,,4.761904761904762e-07,
prasinophyte sp. MBIC10622,156113.0,,,,,,,,,,,,,,4.761904761904762e-07,
Pseudoleptotrichia goodfellowii,157692.0,,,,,,,,,,,,,,4.761904761904762e-07,
Pseudomonas parafulva,157782.0,,,,,,,,,,,,,,4.761904761904762e-07,
Paenibacillus cookii,157839.0,,,,,,,,,,,,,,4.761904761904762e-07,
Phaeomoniella chlamydospora,158046.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Alkalispirochaeta americana,159291.0,,,,,,,,,,,,,,4.761904761904762e-07,
Lingulodinium polyedra,160621.0,,,,,,,,,,,,,,4.761904761904762e-07,6.212121212121213e-05
Acidiferrobacter thiooxydans,163359.0,,,,,,,,,,,,,,4.761904761904762e-07,
Phytophthora ramorum,164328.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Roseicyclus mahoneyensis,164332.0,,,,,,,,,,,,,,4.761904761904762e-07,
Phellinidium pouzarii,167371.0,,,,,,,,,,,,,,4.761904761904762e-07,5.151515151515151e-06
Metarhizium guizhouense,169041.0,,,,,,,,,,,,,,4.761904761904762e-07,
Udotea flabellum,170437.0,,,,,,,,,,,,,,4.761904761904762e-07,
Haptophyta environmental samples,171259.0,,,,,,,,,,,,,,4.761904761904762e-07,
Imshaugia aleurites,172621.0,,,,,,,,,,,,,,4.761904761904762e-07,
Victivallis vadensis,172901.0,,,,,,,,,,,,,,4.761904761904762e-07,
Gracilariopsis heteroclada,172978.0,,,,,,,,,,,,,,4.761904761904762e-07,
Methylobacter tundripaludum,173365.0,,,,,,,,,,,,,,4.761904761904762e-07,
Cephaleuros parasiticus,173370.0,,,,,,,,,,,,,,4.761904761904762e-07,
Neodangemannia microcystis,173495.0,,,,,,,,,,,,,,4.761904761904762e-07,
Paramoeba pemaquidensis,180228.0,,,,,,,,,,,,,,4.761904761904762e-07,
Panaeolus cyanescens,181874.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Aspergillus chevalieri,182096.0,,,,,,,,,,,,,,4.761904761904762e-07,
Anaerobranca californiensis,182411.0,,,,,,,,,,,,,,4.761904761904762e-07,
Proteus myxofaciens,184072.0,,,,,,,,,,,,,,4.761904761904762e-07,
Crustomastix stigmatica,195967.0,,,,,,,,,,,,,,4.761904761904762e-07,
Schizocladia ischiensis,196139.0,,,,,,,,,,,,,,4.761904761904762e-07,
Nitrosomonas sp. Nm58,200126.0,,,,,,,,,,,,,,4.761904761904762e-07,
Leucoagaricus leucothites,201217.0,,,,,,,,,,,,,,4.761904761904762e-07,
Punctularia strigosozonata,202698.0,,,,,,,,,,,,,,4.761904761904762e-07,1.818181818181818e-06
Amylocystis lapponica,202700.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
uncultured Gemmatimonadetes bacterium,203437.0,,,,,,,,,,,,,,4.761904761904762e-07,
Dentipellis fragilis,205917.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Gymnopus confluens,206315.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Rhodocollybia butyracea,206335.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Moorena bouillonii,207920.0,,,,,,,,,,,,,,4.761904761904762e-07,
Puccinia triticina,208348.0,,,,,,,,,,,,,,4.761904761904762e-07,9.09090909090909e-07
Paenarthrobacter nitroguajacolicus,211146.0,,,,,,,,,,,,,,4.761904761904762e-07,
Psychromonas hadalis,211669.0,,,,,,,,,,,,,,4.761904761904762e-07,
Roseomonas genomospecies 6,214106.0,,,,,,,,,,,,,,4.761904761904762e-07,
Trachelomonas grandis,215769.0,,,,,,,,,,,,,,4.761904761904762e-07,
Discoplastis spathirhyncha,215771.0,,,,,,,,,,,,,,4.761904761904762e-07,
Dinoroseobacter shibae,215813.0,,,,,,,,,,,,,,4.761904761904762e-07,
Sulfitobacter sp. DFL-14,215828.0,,,,,,,,,,,,,,4.761904761904762e-07,
Mastigocladopsis repens,221287.0,,,,,,,,,,,,,,4.761904761904762e-07,
Phytophthora pseudosyringae,221518.0,,,,,,,,,,,,,,4.761904761904762e-07,1.818181818181818e-06
Nostoc piscinale,224012.0,,,,,,,,,,,,,,4.761904761904762e-07,
Mycena sanguinolenta,230812.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Synechococcus sp. CB0205,232363.0,,,,,,,,,,,,,,4.761904761904762e-07,
Amanita thiersii,235537.0,,,,,,,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Cryptosporidium hominis,237895.0,,,,,,,,,,,,,,4.761904761904762e-07,
Stephanopogon apogon,238758.0,,,,,,,,,,,,,,4.761904761904762e-07,
Desulfovibrio ferrophilus,241368.0,,,,,,,,,,,,,,4.761904761904762e-07,
Crinalium epipsammum,241425.0,,,,,,,,,,,,,,4.761904761904762e-07,
Candidatus Burkholderia verschuerenii,242163.0,,,,,,,,,,,,,,4.761904761904762e-07,
Viennotia oplismeni,244732.0,,,,,,,,,,,,,,4.761904761904762e-07,
Russula dissimulans,258981.0,,,,,,,,,,,,,,4.761904761904762e-07,6.060606060606061e-07
Microbulbifer agarilyticus,260552.0,,,,,,,,,,,,,,4.761904761904762e-07,
Crocosphaera watsonii,263511.0,,,,,,,,,,,,,,4.761904761904762e-07,
Phormidesmis priestleyi,268141.0,,,,,,,,,,,,,,4.761904761904762e-07,
Spirulina major,270636.0,,,,,,,,,,,,,,4.761904761904762e-07,
Candida metapsilosis,273372.0,,,,,,,,,,,,,,4.761904761904762e-07,
uncultured Dialister sp.,278064.0,,,,,,,,,,,,,,4.761904761904762e-07,
Botryotinia globosa,278942.0,,,,,,,,,,,,,,4.761904761904762e-07,
Botryotinia narcissicola,278944.0,,,,,,,,,,,,,,4.761904761904762e-07,
Azorhizobium doebereinerae,281091.0,,,,,,,,,,,,,,4.761904761904762e-07,
Fructobacillus durionis,283737.0,,,,,,,,,,,,,,4.761904761904762e-07,
Kordiimonas gwangyangensis,288022.0,,,,,,,,,,,,,,4.761904761904762e-07,
Dunaliella maritima,289300.0,,,,,,,,,,,,,,4.761904761904762e-07,
Rhodomonas sp. CCMP768,302021.0,,,,,,,,,,,,,,4.761904761904762e-07,
Dactylonectria macrodidyma,307937.0,,,,,,,,,,,,,,4.761904761904762e-07,1.2121212121212122e-06
Chlamydomonas sp. ICE-L,309537.0,,,,,,,,,,,,,,4.761904761904762e-07,
uncultured Acidimicrobiales bacterium,310071.0,,,,,,,,,,,,,,4.761904761904762e-07,
Streptomyces yanglinensis,310779.0,,,,,,,,,,,,,,4.761904761904762e-07,
Pseudomonas entomophila,312306.0,,,,,,,,,,,,,,4.761904761904762e-07,
Lyngbya sp. PCC 8106,313612.0,,,,,,,,,,,,,,4.761904761904762e-07,
Synechococcus sp. JA-2-3B'a(2-13),321332.0,,,,,,,,,,,,,,4.761904761904762e-07,
Aphanocapsa montana,327565.0,,,,,,,,,,,,,,4.761904761904762e-07,
Oscillatoria salina,331517.0,,,,,,,,,,,,,,4.761904761904762e-07,
alpha proteobacterium BAL199,331869.0,,,,,,,,,,,,,,4.761904761904762e-07,
