superkingdom,kingdom,phylum,class,order,family,genus,species,tax_id
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Zingiberales,Musaceae,Musa,Musa acuminata,4641
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Anoplophora glabripennis,217634
Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys byssicola,160290
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Buddleja,Buddleja alternifolia,168488
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus Blochmanniella,Blochmannia endosymbiont of Camponotus modoc,2945587
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Dieffenbachia,Dieffenbachia sp. Qiu 96007,78390
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix dunnii,1413687
Eukaryota,Viridiplantae,Streptophyta,Zygnemophyceae,Desmidiales,Closteriaceae,Closterium,Closterium sp. NIES-68,2019903
Eukaryota,,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Sarcopeltis,Sarcopeltis skottsbergii,2765380
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Rekoa,Rekoa meton,709189
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Neobacillus,Neobacillus sp.,2675273
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium tuberosum,4683
Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Diuraphis,Diuraphis noxia,143948
Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Megavirus,Megavirus chilense,3060301
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus officinalis,4686
Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Sipha,Sipha flava,143950
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,Coenonympha glycerion,242261
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Plebejus,Plebejus argus,242267
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Styracaceae,Alniphyllum,Alniphyllum eberhardtii,1897053
Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Nephilidae,Trichonephila,Trichonephila clavata,2740835
Bacteria,Bacillati,Cyanobacteriota,Cyanophyceae,Acaryochloridales,Acaryochloridaceae,Acaryochloris,Acaryochloris sp. 'Moss Beach',2740837
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus condimenti,70255
Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium brachythecii,1176177
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Erythrophleum,Erythrophleum ivorense,53877
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Atta,Atta colombica,520822
Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Nephilidae,Trichonephila,Trichonephila clavipes,2585209
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Urticaceae,Laportea,Laportea mooreana,2306682
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,Megachile rotundata,143995
Eukaryota,Metazoa,Arthropoda,Arachnida,Araneae,Nephilidae,Nephila,Nephila pilipes,299642
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga geifolia (nom. illeg.),3035776
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Autostichidae,Oegoconia,Oegoconia quadripuncta,347754
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Commelina,Commelina communis,4744
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Cissus,Cissus tuberosa,332429
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix udensis,889485
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Carabidae,Agonum,Agonum fuliginosum,1553040
Bacteria,Bacillati,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacterium,Thermoanaerobacterium xylanolyticum,29329
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Lindera,Lindera glauca,332435
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus glandulosopunctatus,2814614
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Hemsleya,Hemsleya zhejiangensis,447127
Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Dioscovirus,Dioscovirus dioscoreae,3052184
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Trachymyrmex,Trachymyrmex cornetzi,471704
Archaea,Methanobacteriati,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter boviskoreani,1348249
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Linaceae,Linum,Linum tenue,586396
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Pogonomyrmex,Pogonomyrmex barbatus,144034
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Miscanthus,Miscanthus lutarioriparius,422564
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Prostanthera,Prostanthera lasianthos,1290916
Bacteria,Bacillati,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,Thomasclavelia spiroformis,29348
Eukaryota,,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis hominis,12968
Bacteria,,Candidatus Woesebacteria,,,,,Candidatus Woesebacteria bacterium GW2011_GWF1_31_35,1618600
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago ovata,185002
Eukaryota,,Oomycota,,Peronosporales,Peronosporaceae,Bremia,Bremia lactucae,4779
Eukaryota,,Oomycota,,Peronosporales,Peronosporaceae,Plasmopara,Plasmopara halstedii,4781
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Saxifragales,Grossulariaceae,Ribes,Ribes nigrum,78511
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Acourtia,Acourtia cordata,2732720
Eukaryota,,Oomycota,,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora cinnamomi,4785
Eukaryota,,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurenciella,Laurenciella marilzae,1413812
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Erynnis,Erynnis tages,520884
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Chilo,Chilo suppressalis,168631
Eukaryota,,Oomycota,,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora nicotianae,4792
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Cadra,Cadra cautella,12985
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Chymomyza,Chymomyza fuscimana,1692350
Eukaryota,,Oomycota,,Lagenidiales,Lagenidiaceae,Lagenidium,Lagenidium giganteum,4803
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus cohnii,29382
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Linderniaceae,Torenia,Torenia polygonoides,258762
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Spatholobus,Spatholobus suberectus,455371
Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,Dokdonia sp. Hel_I_63,1249996
Eukaryota,Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,Chytriomycetaceae,Chytriomyces,Chytriomyces hyalinus,4814
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis cinerea var. helleri x Vitis riparia,152274
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila pseudotakahashii,193234
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum,Dolosigranulum pigrum,29394
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta aceris,987859
Eukaryota,Fungi,Mucoromycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella antarctica,979670
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,Scutellaria minor,1053395
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,Melia azedarach,155640
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Betulaceae,Carpinus,Carpinus fangiana,176857
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta leporina,987862
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acronicta,Acronicta psi,987865
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis cinerea,226012
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrochola,Agrochola circellaris,987866
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrochola,Agrochola litura,987869
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrochola,Agrochola lota,987870
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Magnoliales,Magnoliaceae,Magnolia,Magnolia sinica,86752
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Betulaceae,Carpinus,Carpinus viminea,176864
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrochola,Agrochola macilenta,987872
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipoea,Amphipoea lucens,987875
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipoea,Amphipoea oculea,987876
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Magnoliales,Magnoliaceae,Magnolia,Magnolia champaca,86757
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Amphipyra,Amphipyra berbera,987877
Eukaryota,Fungi,Chytridiomycota,Neocallimastigomycetes,Neocallimastigales,Neocallimastigaceae,Piromyces,Piromyces sp.,45796
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Apamea,Apamea epomidion,987880
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,13037
Eukaryota,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus,Rhizopus stolonifer,4846
Eukaryota,Metazoa,Priapulida,Priapulimorpha,Priapulimorphida,Priapulidae,Priapulus,Priapulus caudatus,37621
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Autographa,Autographa pulchrina,987893
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Caradrina,Caradrina clavipalpis,987895
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Caradrina,Caradrina kadenii,987896
Eukaryota,Metazoa,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,Ostrea edulis,37623
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas savastanoi,29438
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Clostera,Clostera curtula,987902
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium,13055
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Dioryctria,Dioryctria sylvestrella,357121
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Cosmia,Cosmia pyralina,987909
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum dulcamara,45834
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Cybosia,Cybosia mesomella,987918
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Diaphora,Diaphora mendica,987922
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Diarsia,Diarsia brunnea,987923
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Diarsia,Diarsia mendica,987924
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Diarsia,Diarsia rubi,987925
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Diloba,Diloba caeruleocephala,987926
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia sp. 39_35_sub15_T18,1856279
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Cantharidae,Cantharis,Cantharis nigra,1553174
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Eilema,Eilema caniola,987929
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Euplexia,Euplexia lucipara,987933
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Tetrastigma,Tetrastigma rafflesiae,2003742
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabis,Arabis nemorensis,586526
Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Melanaphis,Melanaphis sacchari,742174
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,Thalassotalea sp. 42_200_T64,1856287
Bacteria,Pseudomonadati,Planctomycetota,Phycisphaerae,,,,Phycisphaerae bacterium RAS1,2528034
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Euproctis,Euproctis similis,987935
Eukaryota,Metazoa,Cnidaria,Hydrozoa,Anthoathecata,Hydractiniidae,Hydractinia,Hydractinia symbiolongicarpus,13093
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fagales,Betulaceae,Betula,Betula platyphylla,78630
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas fuliginea,1872678
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Menispermaceae,Pachygone,Pachygone laurifolia,152359
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris napi,78633
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. H105,1348393
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. H71,1348395
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Lampyridae,Abscondita,Abscondita terminalis,2069292
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Furcula,Furcula furcula,987943
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. H100,1348394
Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus tauri,70448
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hemaris,Hemaris fuciformis,987953
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Aegilops,Aegilops tauschii,37682
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina blanda,987956
Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Millerozyma,Millerozyma farinosa,4920
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus,29497
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Santalales,Amphorogynaceae,Phacellaria,Phacellaria rigidula,463674
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cornales,Hydrostachyaceae,Hydrostachys,Hydrostachys imbricata,86842
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus trifoliata,37690
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Hyppa,Hyppa rectilinea,987961
Eukaryota,Metazoa,Nematoda,Enoplea,Trichinellida,Trichinellidae,Trichinella,Trichinella britovi,45882
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Caryocaraceae,Anthodiscus,Anthodiscus peruanus,1241919
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Balanopaceae,Balanops,Balanops pachyphylla,1241920
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,Pollenia angustigena,1266490
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Leucania,Leucania comma,987968
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Lymantria dispar,13123
Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,4932
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lithophane,Lithophane ornitopus,987973
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lycophotia,Lycophotia porphyrea,987975
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nolidae,Meganola,Meganola albula,987977
Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Macrosiphum,Macrosiphum euphorbiae,13131
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melanchra,Melanchra persicariae,987979
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Miltochrista,Miltochrista miniata,987980
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna albipuncta,987983
Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Miridae,Leptopterna,Leptopterna dolabrata,881489
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna impura,987985
Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. N501239,2986836
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna vitellina,987991
Eukaryota,,,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,Desmarestia aculeata,62298
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,Noctua janthe,987995
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Notodonta,Notodonta ziczac,988002
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nolidae,Nycteola,Nycteola revayana,988004
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Dipterocarpaceae,Rubroshorea,Rubroshorea leprosula,152421
Eukaryota,Metazoa,Arthropoda,Insecta,Blattodea,Termopsidae,Zootermopsis,Zootermopsis nevadensis,136037
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Volucella,Volucella inanis,226151
Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus,Azoarcus sp.,29544
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Hesperia,Hesperia comma,291688
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Oligia,Oligia strigilis,988009
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Oligia,Oligia latruncula,988008
Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Myzus,Myzus persicae,13164
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Orthosia,Orthosia incerta,988011
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Depressariidae,Agonopterix,Agonopterix arenella,1594222
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Arundina,Arundina graminifolia,78703
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Smallanthus,Smallanthus sonchifolius,185202
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Ningiella,Ningiella ruwaisensis,2364274
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles funestus,62324
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Agriphila,Agriphila tristella,1594226
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Pheosia,Pheosia tremula,988019
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Notodontidae,Pheosia,Pheosia gnoma,988018
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Polia,Polia nebulosa,988024
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Cyaniris,Cyaniris semiargus,988025
Bacteria,Bacillati,Mycoplasmatota,,Mycoplasmoidales,Metamycoplasmataceae,Mycoplasmopsis,Mycoplasmopsis meleagridis,29561
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella quasipneumoniae,1463165
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Saccharum,Saccharum robustum,62334
Eukaryota,Metazoa,Arthropoda,Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis bostrychophila,185214
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,62337
Eukaryota,Metazoa,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,Dreissena polymorpha,45954
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Baccha,Baccha elongata,226178
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Hydrocharitaceae,Limnobium,Limnobium laevigatum,62342
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Pectinophora,Pectinophora gossypiella,13191
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Potamogetonaceae,Potamogeton,Potamogeton distinctus,62344
Bacteria,Bacillati,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Dolichospermum,Dolichospermum planctonicum,136072
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,Bombylius discolor,2741128
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Tholera,Tholera decimalis,988041
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Chrysoteuchia,Chrysoteuchia culmella,1594250
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,Xestia ashworthii,988043
Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassococcus,Thalassococcus profundi,2282382
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Corybas,Corybas diemenicus,78735
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,Xestia xanthographa,988049
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Cymbidium,Cymbidium ensifolium,78740
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Allophyes,Allophyes oxyacanthae,988056
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella paludicola,570267
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Semiothisa,Semiothisa cinerearia,2249628
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Anorthoa,Anorthoa munda,988060
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Antitype,Antitype chi,988062
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia miltiorrhiza,226208
Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter sp. NJDZ03,2855841
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper nigrum,13216
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Aporophyla,Aporophyla nigra,988065
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Asteroscopus,Asteroscopus sphinx,988069
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Atethmia,Atethmia centrago,988071
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Brachylomia,Brachylomia viminalis,988081
Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Coreidae,Gonocerus,Gonocerus acuteangulatus,1545138
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris emargana,758706
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris cristana,758705
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis rotundifolia,103349
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia bilunana,1594293
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis amurensis,103351
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis rupestris,103352
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis arizonica,103353
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis davidii,103354
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis labrusca,103355
