Class,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Methanomicrobia,,,0.002,,,,0.0011,0.0012,0.0002,0.0014,0.00089,0.00118,0.00121,0.00095,0.00109,0.000898,0.000965,0.000917,0.000944,0.000955,0.0009955,0.001001,0.0010128,0.0010037,0.0010027
Methanonatronarchaeia,,,,,,,,,,,,,,,,,,,,,6e-07,5e-07,5e-07,6e-07,7e-07
Methylomirabilia,,,,,,,,,,,,,,,,,,,,,,,,1.7e-06,
Microbotryomycetes,,,,,,,,,,,,,,,,2.4e-05,1.8e-05,1.6e-05,1.3e-05,3.3e-05,2.66e-05,2.61e-05,2.38e-05,2.73e-05,7.9e-06
Ministeriida,,,,,,,,,,,,,,,,2e-05,,3e-06,2e-05,7e-06,1.36e-05,1.51e-05,1.47e-05,1.29e-05,1.43e-05
Mitosporidium daphniae   ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Moduliflexia,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,8e-07,6e-07,7e-07
Mollicutes,,,,,,,,,0.0002,,0.00016,0.00018,0.00015,0.00011,7e-05,0.000116,0.000134,0.000167,0.000171,0.000145,0.000186,0.0001857,0.0002022,0.0001993,0.0002089
Mollusca,,,,,,,,,,,,,,2e-05,,1e-05,2.7e-05,1e-05,1.4e-05,1.9e-05,2.98e-05,3.48e-05,2.72e-05,2.76e-05,2.94e-05
Monoblepharidomycetes,,,,,,,,,,,,,,,,,5e-06,,,,3.9e-06,4.1e-06,3.3e-06,3.8e-06,3.5e-06
Monogenea,,,,,,,,,,,,,,,,,,,,,2.2e-06,1.4e-06,1.7e-06,1.3e-06,1.9e-06
Monogononta,,,,,,,,,,,,,,,,,,,,,,1.9e-06,1.4e-06,,3e-06
Mortierellomycetes,,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,2e-07
Mucoromycetes,,,,,,,,,,,,,,,,,,,,,4.7e-06,3.6e-06,7e-06,6.2e-06,4.4e-06
Myxococcia,,,,,,,,,,,,,,,,2.1e-05,1.9e-05,2.2e-05,1.8e-05,1.1e-05,1.09e-05,1.04e-05,9.3e-06,1.01e-05,9.9e-06
Myxozoa,,,,,,,,,,,,,,,,,8.3e-05,,,,5.38e-05,5.75e-05,5.3e-05,7.36e-05,7.11e-05
NB1-j,,,,,,,,,,,,,,,,1.9e-05,,,2.5e-05,1e-05,2.27e-05,2e-05,2.2e-05,2.19e-05,2.21e-05
Nanoarchaeia,,,,,,,,,,,2e-05,,,,,,,2e-06,2e-06,,2.4e-06,3.5e-06,3.1e-06,3.9e-06,4.4e-06
Nanoarchaeota archaeon SCGC AAA011-D5,,,,,,,,,,,,,,,,,,,,,4e-07,,3e-07,3e-07,3e-07
Nassophorea,,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,5e-07,4e-07
Negativicutes,,,,,,,,,,,5e-05,,3e-05,2e-05,2e-05,4e-05,4.1e-05,4.6e-05,3e-05,4.2e-05,7.84e-05,6.88e-05,7.07e-05,7.88e-05,7.68e-05
Nematoda,0.019,,0.016,,,0.0076,0.0069,0.0084,0.0059,0.0073,0.00676,0.00682,0.0067,0.00695,0.00634,0.007006,0.006936,0.0068,0.006819,0.006781,0.006752,0.0067953,0.0067396,0.0067576,0.006753
Neocallimastigomycetes,,,,,,,,,,,,,,,,,,,,,3.8e-06,3.8e-06,3.7e-06,5.5e-06,2.3e-06
Nephridiophaga,,,,,,,,,,,,,,,,,,,,,2e-07,,6e-07,3e-07,3e-07
Nephroselmidophyceae,,,,,,,,,,,,,,,,,,,,,2e-07,1.9e-06,6e-07,1.5e-06,
Nitriliruptoria,,,,,,,,,,,,,,,,,3e-06,6e-06,,6e-06,4.7e-06,6.4e-06,5e-06,5.6e-06,5.2e-06
Nitrososphaeria,,,,,,,,,,,,,,,,,,2e-06,2e-06,,1.6e-06,1.9e-06,1.5e-06,2e-06,1.7e-06
Nitrospinia,,,,,,,,,,,,,,,,4e-06,7e-06,4e-06,,4e-06,5.6e-06,4.7e-06,6.9e-06,5.9e-06,5.8e-06
Nitrospira,,,,,,,,,,,8e-05,,5e-05,0.0001,6e-05,0.000107,9.6e-05,9.2e-05,9.8e-05,9.1e-05,0.0001002,0.0001029,0.0001032,9.71e-05,9.93e-05
Nitrospiria,,,,,,,,,,,,,3e-05,,0.0001,4e-05,2.6e-05,4.3e-05,3.2e-05,4e-05,3.68e-05,3.21e-05,3.37e-05,3.51e-05,3.64e-05
Nucleophaga,,,,,,,,,,,,,,,,,,7e-06,,,3.3e-06,4.1e-06,3.3e-06,3.2e-06,2.9e-06
Nutomonas,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
OM190,,,,,,,,0.0003,,,0.00019,0.00027,0.00025,0.00022,0.0003,0.000271,0.00031,0.000245,0.000259,0.000268,0.0003061,0.0002969,0.0002937,0.0002992,0.0002979
OPB35 soil group,,,,,,,,,,,,,,,7e-05,2.3e-05,3.2e-05,5.2e-05,6e-05,4.2e-05,5.73e-05,5.99e-05,6.04e-05,5.92e-05,5.89e-05
OPB41,,,,,,,,,,,,,,,,,,2.5e-05,,,6.5e-06,6.3e-06,5.9e-06,7.1e-06,6.1e-06
OPPD003,,,,,,,,,,,,,,,,,,,,,3e-07,,,2.2e-06,
Oligoflexia,,,,,,,,,,,0.00012,9e-05,8e-05,0.00012,0.0001,7.6e-05,0.000105,0.000102,9.6e-05,0.000107,0.0001093,0.0001108,0.0001125,0.0001157,0.0001112
Oligohymenophorea,,,,,,,,,,0.0003,0.00026,0.0003,0.00034,0.00035,0.00039,0.000337,0.000313,0.000316,0.000356,0.000316,0.0003464,0.0003337,0.0003355,0.0003355,0.0003454
Oligosphaeria,,,,,,,,,,,,,6e-05,5e-05,,5.5e-05,4.1e-05,4.3e-05,3.9e-05,5.2e-05,4.07e-05,4.18e-05,4.39e-05,4.27e-05,4.33e-05
Omnitrophia,,,,,,,,,,,,,,,,8e-06,4e-06,8e-06,,8e-06,6.9e-06,7.3e-06,6.5e-06,6.3e-06,7.3e-06
Omnitrophica Unknown Order,,,,,,,,,,,5e-05,4e-05,,4e-05,,1.4e-05,2e-05,1.9e-05,1.3e-05,2e-05,2.06e-05,2.18e-05,2.02e-05,2.03e-05,1.95e-05
Opalinata,,,,,,,,,,,,,,,,,,,,,3e-07,8e-07,4e-07,1.2e-06,6e-07
Opitutae,,,,,,,,,,,0.00019,9e-05,0.00018,0.00032,0.00016,0.000281,0.000411,0.000417,0.000509,0.000407,0.0004457,0.000443,0.0004548,0.0004488,0.0004707
Opitutia,,,,,,,,,,,,5e-05,,,,3e-05,2.4e-05,1.9e-05,4.6e-05,2.8e-05,2.81e-05,2.94e-05,2.7e-05,2.83e-05,2.82e-05
Orbiliomycetes,,,,,,,,,,,,,,,,,,,,,5e-07,6e-07,4e-07,6e-07,2e-07
Ostracoda,,,,,,,,,,,,,,,,2e-06,,,,,2.4e-06,1.2e-06,1.2e-06,1.4e-06,1.5e-06
P1-31,,,,,,,,,,,,,,,,,,,,5e-06,7e-07,7e-07,4e-07,5e-07,9e-07
PAUC43f marine benthic group,,,,,,,,,,,2e-05,,,,,2.3e-05,4e-05,1.8e-05,3.5e-05,1.3e-05,2.32e-05,2.23e-05,2.2e-05,2.11e-05,2.17e-05
PBS-18,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,5e-07,4e-07,
Palaeacanthocephala,,,,,,,,,,,,,5e-05,,,1.4e-05,2.3e-05,1.1e-05,1.6e-05,,1.76e-05,1.9e-05,1.65e-05,1.65e-05,1.64e-05
Palaeonemertea,,,,,,,,,,,,,,,,6e-06,8e-06,9e-06,7e-06,9e-06,9e-06,8.9e-06,9.4e-06,9.5e-06,8.7e-06
Palmophyllophyceae,,,,,,,,,,,,,,,,,,,,,4e-07,6e-07,6e-07,6e-07,2e-07
Paramicrosporidium,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,,,2e-07
Parcubacteria,,,,,,,,,,,,,6e-05,,,3.2e-05,3.4e-05,4.8e-05,3.9e-05,4.9e-05,4.94e-05,4.88e-05,4.66e-05,4.7e-05,4.35e-05
Parcubacteria Unknown Order,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Parcubacteria bacterium SCGC AAA010-E09 ,,,,,,,,,,,,,,,,,2.3e-05,,,,9e-07,1.55e-05,,1.1e-06,
Parcubacteria group bacterium GW2011_GWA2_44_12 ,,,,,,,,,,,,,,,3e-05,2e-06,,,6e-06,2e-06,3.1e-06,2.8e-06,3.5e-06,3.2e-06,3.1e-06
Parcubacteria group bacterium GW2011_GWA2_46_7 ,,,,,,,,,,,,,,,,,,,,,9e-07,9e-07,7e-07,,1.4e-06
Parcubacteria group bacterium GW2011_GWA2_47_8 ,,,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,4e-07
Parcubacteria group bacterium GW2011_GWC2_44_22 ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,3e-07,2e-07,2e-07
Parcubacteria group bacterium GW2011_GWC2_49_9 ,,,,,,,,,,,,,,,,,,,3e-06,,8e-07,8e-07,6e-07,5e-07,7e-07
Parcubacteria group bacterium GW2011_GWF2_42_7 ,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Parvarchaeota Unknown Order,,,,,,,,,,,,,,,,,,2e-06,,,1.3e-06,1e-06,1.1e-06,1.2e-06,8e-07
Pauropoda,,,,,,,,,,,,,,,,,,,,,,,1.6e-06,2.6e-06,2.4e-06
Pavlovophyceae,,,,,,,,,,,,,,,,,,,,,,,3e-07,,
Pedinophyceae,,,,,,,,,,,,,,,,1.1e-05,7e-06,,5e-06,9e-06,1.02e-05,9.9e-06,1e-05,1.17e-05,1.09e-05
Pelagophyceae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Pezizomycetes,,,,,,,,,,,,,,,,,,,,,2.9e-06,3.2e-06,2.6e-06,3.6e-06,3e-06
Pezizomycotina,,,,,,,,,,,,6e-05,0.00026,5e-05,,0.000355,0.000415,0.00036,0.000376,0.000344,0.0003599,0.0003674,0.0003659,0.0003743,0.0003581
Phaeophyceae,,,,,,,,,,,,,,,,,,,,,3.9e-06,1.5e-06,3.3e-06,3.1e-06,1.8e-06
Phycisphaerae,,,,,,0.0003,,,0.0002,,0.00014,0.00015,0.00021,6e-05,0.00017,0.000277,0.000323,0.000283,0.00028,0.000322,0.0003937,0.0003849,0.0003817,0.000366,0.0004043
Phylactolaemata,,,,,,,,,,,,,,,,,,,,,7e-07,1e-06,7e-07,,8e-07
Phyllopharyngea,,,,,,,,,,0.0002,0.00016,0.0001,9e-05,0.00011,0.00016,0.000137,0.000112,0.000102,0.000107,0.00013,0.0001197,0.0001282,0.0001301,0.0001274,0.0001282
Phytomyxea,,,,,,,,,,,,,,,,,1e-05,,,8e-06,3.1e-06,5.9e-06,5.3e-06,5.3e-06,4.7e-06
Pichiomycetes,,,,,0.002,0.0017,0.0019,0.0027,0.0012,0.0015,0.00134,0.00142,0.00135,0.0014,0.0017,0.001395,0.001415,0.001388,0.001455,0.001395,0.0014294,0.0014166,0.0014236,0.0014104,0.0014364
Picomonadida,,,,,,,,,,,,,,,,,,,,,5e-07,,,6e-07,
Pilidiophora,,,,,,,,,,,,,,,,2e-06,,,,,,4e-07,,,1e-06
Pinguiophyceae,,,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07
Pinopsida,,,,,,0.004,0.0045,0.0062,0.0037,0.0054,0.00309,0.00311,0.00325,0.003,0.00295,0.003079,0.002987,0.003142,0.003013,0.003005,0.0030691,0.0030669,0.0030767,0.0030642,0.0030573
Pla3 lineage,,,,,,,,,,,,,,,,9e-06,6e-06,,5e-06,5e-06,1.66e-05,1.27e-05,1.19e-05,1.1e-05,9.6e-06
Pla4 lineage,,,,,,,,,,,,3e-05,,,3e-05,3.4e-05,2.1e-05,3e-05,3e-05,1.9e-05,2.68e-05,2.75e-05,2.92e-05,2.82e-05,2.81e-05
Plagiopylea,,,,,,,,,,,,,,,,,8e-06,,,,,,,,
Planctomycetacia,,,,,,,0.0016,0.0008,0.001,0.0002,0.00113,0.00131,0.00101,0.00091,0.00092,0.001017,0.001087,0.001146,0.00103,0.001201,0.0010414,0.001043,0.0010618,0.0010375,0.0010296
Planctomycetes,,,,,,,,,,,0.00013,8e-05,0.0001,0.00011,0.00011,0.000103,0.000102,0.000135,8.6e-05,8.4e-05,0.0001167,0.0001124,0.000114,0.000116,0.0001139
Planctomycetia,,,,,,,0.0003,,0.0009,0.0008,0.00073,0.00095,0.00065,0.00077,0.00078,0.000803,0.00076,0.000828,0.000767,0.000796,0.0007559,0.0007506,0.0007558,0.0007572,0.0007475
Planomonas micra  ,,,,,,,,,,,,,,,,,,,,,5e-07,9e-07,7e-07,7e-07,5e-07
Platyhelminthes,,,,,,0.0008,0.0016,0.0004,0.0005,0.0009,0.00121,0.00109,0.00109,0.00103,0.00119,0.001017,0.001048,0.00108,0.001176,0.00107,0.0011709,0.0011828,0.0011619,0.0011716,0.0011806
Pneumocystomycetes,,,,,,,,,,,,,,,,2e-06,,,,2e-06,2e-06,1.5e-06,2.4e-06,2.2e-06,1.7e-06
Polyangia,,,,,,,,,,,9e-05,9e-05,,,7e-05,0.0001,0.000133,9.5e-05,9.3e-05,9.9e-05,9.46e-05,9.46e-05,9.39e-05,9.67e-05,9.28e-05
Polychaeta,,,,,,,,,,,,,,,,7e-06,,1.4e-05,3.3e-05,3.1e-05,1.53e-05,3.72e-05,2.23e-05,3.58e-05,2.4e-05
Polycystinea,,,,,,,,,0.0003,0.0002,0.00015,0.00011,0.00014,0.00012,0.00015,0.000168,0.000326,0.000143,0.000154,0.000145,0.0002344,0.0002268,0.000235,0.0002355,0.0002187
Polyplacophora,,,,,,,,,,,,,,,,1e-05,,,,,,2e-07,,6.7e-06,3.5e-06
Polypodiopsida,,,,,,,,,,,,,,,,,,,,,,2e-07,8e-07,,1.2e-06
Priapulida,,,,,,,,,,,,,,,,,,,,,1.6e-06,1.3e-06,,1.6e-06,1.1e-06
Priapulimorpha,,,,,,,,,,,,,,,,,,,,5e-06,3.4e-06,2.9e-06,2.7e-06,3.7e-06,3.8e-06
Prostomatea,,,,,,,,0.0004,,,0.00022,0.00024,0.0003,0.0003,0.00023,0.000268,0.000272,0.000276,0.000266,0.000258,0.0002606,0.0002627,0.0002539,0.0002617,0.0002624
Proteobacteria Unknown Order,,,,,,,,,,,,0.00037,0.00037,0.00021,0.00045,0.000128,0.000149,0.000137,0.000124,0.000142,8.86e-05,9.43e-05,9.73e-05,8.93e-05,9.32e-05
Prymnesiophyceae,,,,,,0.0006,,,,,0.00025,0.00037,0.00032,0.00031,0.00026,0.000281,0.0003,0.000275,0.000275,0.00029,0.0002848,0.0002839,0.0002903,0.0002908,0.0002831
Pseudonosematidae,,,,,,,,,,,,,,,,5e-06,4e-06,,4e-06,8e-06,3.7e-06,3.2e-06,3.8e-06,3.7e-06,3.9e-06
Pterobranchia,,,,,,,,,,,,,,,,,,,,,3e-07,7e-07,4e-07,5e-07,6e-07
Pucciniomycetes,,,,,,,,,,,,4e-05,,,,1.9e-05,2e-05,1.3e-05,1.1e-05,8e-06,1.76e-05,1.9e-05,1.96e-05,2e-05,1.99e-05
Pucciniomycotina,,,,,,,,,,,0.0001,8e-05,,,,0.000108,8e-05,9.7e-05,8.8e-05,8.3e-05,8.94e-05,8.7e-05,9.16e-05,8.93e-05,9.1e-05
Pyramimonadophyceae,,,,,,,,,,,8e-05,0.00011,9e-05,,6e-05,5.1e-05,6.4e-05,6e-05,5.9e-05,4.4e-05,4.91e-05,4.98e-05,5.05e-05,4.97e-05,5.32e-05
R76-B128,,,,,,,,,,,,,,,5e-05,1.3e-05,1.8e-05,1.1e-05,1.7e-05,1.7e-05,1.35e-05,1.41e-05,1.42e-05,1.34e-05,1.22e-05
RBG-16-55-12,,,,,,,,,,,,,,,,,,,,,9e-07,1.1e-06,8e-07,8e-07,5e-07
RCP2-54,,,,,,,,,,,,,,,,1.6e-05,1.8e-05,,,,3e-06,4.1e-06,4.5e-06,5.5e-06,3.9e-06
Raphidophyceae,,,,,,,,,,,,,,,,3e-06,3e-06,,,6e-06,5.2e-06,6.2e-06,5.7e-06,5.5e-06,6.1e-06
Rhabditophora,,,,0.025,0.01,0.0103,0.0083,0.0104,0.0076,0.0078,0.01016,0.01013,0.00951,0.00932,0.01004,0.009723,0.009972,0.009762,0.009752,0.0096,0.0097731,0.0096897,0.009758,0.0096886,0.0097486
Rhizaria,0.121,0.122,0.134,0.113,0.163,0.118,0.1141,0.1179,0.1241,0.1161,0.1181,0.11702,0.11856,0.11842,0.1173,0.116668,0.116998,0.116946,0.116614,0.116729,0.1164394,0.1163592,0.1164191,0.1163323,0.1162758
Rhodellophyceae,,,,,,,,,,,,,,,,,,,,,4e-07,6e-07,5e-07,5e-07,4e-07
Rhodophyceae,,,,,,,,,,,3e-05,,,,9e-05,5.9e-05,5e-05,3e-05,6.3e-05,4.7e-05,5.3e-05,5e-05,5.11e-05,5.04e-05,4.75e-05
Rhodothermia,,,,,,0.0003,,,,,7e-05,5e-05,7e-05,9e-05,7e-05,9.5e-05,7.5e-05,7.2e-05,8.4e-05,0.000104,8.37e-05,8.44e-05,8.34e-05,8.69e-05,8.49e-05
Rhynchonellata,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Rotifera,,,,,,,,,,,,,,,,,,,,,1.7e-06,3.4e-06,3.4e-06,,1.7e-06
Rozella,,,,,,,,,,,,,,,,,,,,,7e-07,8e-07,5e-07,8e-07,4e-07
Rubrobacteria,,,,,,,,,,,,,,,,1.7e-05,1.7e-05,3e-06,2.6e-05,6e-06,2.05e-05,1.96e-05,1.75e-05,1.99e-05,2.03e-05
S-BQ2-57 soil group,,,,,,,,,,,,,,,,,,,,,3e-07,1.1e-06,,5e-07,2e-07
S0134 terrestrial group,,,,,,,,,,,,,,,,3e-06,2e-06,3e-06,5e-06,4e-06,1.06e-05,7.7e-06,3.5e-06,3.3e-06,1.12e-05
S085,,,,,,,,,,,,,,,,,,,,2e-06,1.1e-06,1.9e-06,1.4e-06,1.6e-06,1.2e-06
SAR202 clade,,,,,,,,,,,,,,,,,,,,,2e-06,1.7e-06,2.2e-06,2.4e-06,2.2e-06
SAR324 clade(Marine group B),,,,,,,,,,,,,,,,1.1e-05,3e-06,1.5e-05,8e-06,1.9e-05,6.2e-06,7.7e-06,7.8e-06,7.7e-06,9.8e-06
SB-5,,,,,,,,,,,,,,,,3e-06,1.6e-05,,,,4.3e-06,2.2e-06,2.1e-06,3.6e-06,5.4e-06
SBR2076,,,,,,,,,,,,,,,,,4e-06,,4e-06,,2.3e-06,2.3e-06,3e-06,2.1e-06,1.3e-06
SBXY-6786,,,,,,,,,,,,,,,,1.6e-05,2e-05,1.8e-05,2.5e-05,3.1e-05,1.66e-05,1.8e-05,1.92e-05,1.81e-05,1.98e-05
SHA-26,,,,,,,,,,,,,,,,,,,,,,1.2e-06,3.2e-06,2.6e-06,6e-07
SHA-4,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,2e-07,,
SHA-41,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
SJA-15,,,,,,,,,,,,,,,,,,4e-06,,,3.4e-06,2.7e-06,3.2e-06,4e-06,2.6e-06
SJA-28,,,,,,,,,,,,,,,,,,,,,,6e-07,6e-07,,
SJA-68,,,,,,,,,,,,,,,,,,,2e-06,,1.2e-06,8e-07,7e-07,1e-06,1.3e-06
SL56 marine group,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,,5e-07,8e-07
SM1A07,,,,,,,,,,,,,,,,,,,,,,,,4.5e-06,
SPG12-401-411-B72,,,,,,,,,,,,,,,,,,,,,6e-07,4e-07,5e-07,,4e-07
SPOTSOCT00m83,,,,,,,,,,,,,,,,,,,4e-06,,2.8e-06,2.4e-06,2.6e-06,2.6e-06,2.8e-06
Saccharimonadia,,,,,,,,,,,,,,,,9e-06,6e-06,3e-06,,,2.5e-06,2.6e-06,3.4e-06,3.3e-06,2.8e-06
Saccharomycetes,,,,,,,0.0016,0.0015,0.0013,0.0017,0.0012,0.00122,0.001,0.00147,0.0012,0.001024,0.000991,0.000967,0.001045,0.001022,0.0010187,0.0010103,0.0010279,0.001022,0.0010216
Saccharomycotina,,,,,,,,,,,,,,,,4e-06,1.6e-05,1.2e-05,9e-06,5e-06,1.32e-05,1.59e-05,1.34e-05,1.43e-05,1.41e-05
Sagittoidea,,,,,,,,,,,,,,,,,,,,,6e-07,,,2e-07,4e-07
Saprospiria,,,,,,,,,,,0.00023,0.00021,0.00012,0.00017,7e-05,0.000207,0.000256,0.000261,0.000218,0.000261,0.0002428,0.0002487,0.0002334,0.0002317,0.0002374
Scalidophora,,,,,,,,,,,,,,,,,,,,,,,3e-07,,
Schekmanbacteria,,,,,,,,,,,,,,,,,,,,,2.6e-06,2.7e-06,2.1e-06,7e-07,2.1e-06
Schizosaccharomycetes,,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,
Scyphozoa,,,,,,,0.0006,,,,0.00044,0.00036,0.00042,0.00027,0.00042,0.00048,0.000453,0.000504,0.000511,0.000481,0.0004777,0.0004804,0.000478,0.0004781,0.0004767
Senoma,,,,,,,,,,,,,,,,,,,,,3e-07,,5e-07,4e-07,
Sericytochromatia,,,,,,,,,,,,,,3e-05,,1.6e-05,2e-05,2.8e-05,2e-05,1.5e-05,2.04e-05,1.78e-05,1.91e-05,2.05e-05,2.02e-05
Soil Crenarchaeotic Group(SCG),,,,,,0.0002,,0.0004,,,0.0001,0.00011,0.00016,0.00014,0.00025,0.000152,0.000158,0.00017,0.000161,0.000166,0.0001771,0.0001802,0.0001879,0.0001837,0.0001787
Solibacteres,,,,,,,,,,,0.00013,0.0001,0.00011,5e-05,6e-05,9e-05,8.4e-05,0.000105,7.5e-05,9.6e-05,0.0001131,0.0001123,0.0001106,0.0001112,0.0001131
Sordariomycetes,,,,,,0.0011,,0.0023,0.0012,0.0012,0.00197,0.00167,0.00167,0.00136,0.00158,0.001715,0.001754,0.001752,0.001736,0.001661,0.001704,0.0017132,0.0017202,0.0017216,0.0017032
South African Gold Mine Gp,,,,,,,,,,,,,,,,,,,,2e-06,3.4e-06,4.2e-06,4.2e-06,3.1e-06,4.4e-06
Spartobacteria,,,,,,,,,,,,,0.00032,5e-05,0.00025,0.000102,0.000172,0.000246,0.000105,0.000204,0.0001508,0.0001724,0.0001103,0.0001149,0.0001535
Sphagnopsida,,,,,,,,,,,4e-05,5e-05,,,0.0001,5.8e-05,5.5e-05,6.4e-05,5.5e-05,6.5e-05,5.23e-05,4.9e-05,4.87e-05,5.21e-05,4.97e-05
Sphingobacteriia,,,,,,0.0011,0.0013,0.0015,0.0025,0.001,0.00192,0.00173,0.00191,0.00166,0.00179,0.002146,0.001952,0.002086,0.002052,0.001956,0.0022459,0.002201,0.0022183,0.0022488,0.0022494
Spirochaetes,,,,,,,,0.0002,,,5e-05,0.0001,0.00012,5e-05,,0.000187,0.000128,0.000201,0.000187,0.00013,0.0002513,0.0002396,0.0002246,0.0002307,0.0002359
Spirochaetia,,,,,,,,,,,,,,,,0.000166,6e-06,8e-06,6e-06,6e-06,1.45e-05,1.77e-05,0.000152,0.00015,1.65e-05
Spirotrichea,,,,,,,,,,,,3e-05,2e-05,,,7.9e-05,8.6e-05,6.1e-05,6.6e-05,9.4e-05,9.33e-05,8.78e-05,9.23e-05,8.62e-05,9e-05
Stenolaemata,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,3e-07,3e-07
Stramenopiles,,,,0.006,0.005,0.0011,0.0017,0.0011,0.0014,0.0021,0.0014,0.00157,0.0015,0.0014,0.00188,0.001632,0.001705,0.001687,0.001569,0.00165,0.0017189,0.0017356,0.0018364,0.0017298,0.0017655
Stylonematophyceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Subgroup 13,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,5e-07,,6e-07
Subgroup 15,,,,,,,,,,,,,,,,5e-06,5e-06,,4e-06,,4.4e-06,4.5e-06,3.7e-06,4.3e-06,5.1e-06
Subgroup 17,,,,,,,,,,,,,,,,2e-06,7e-06,2e-06,,2e-06,5.8e-06,6.2e-06,5.8e-06,6.1e-06,5.9e-06
Subgroup 18,,,,,,,,,,,,,,,,,,,,,1.3e-06,1.4e-06,6e-07,9e-07,1e-06
Subgroup 2,,,,,,,,,,,,,,,,5e-06,8e-06,1.7e-05,1.3e-05,1.4e-05,1.53e-05,1.5e-05,1.52e-05,2.1e-05,1.79e-05
Subgroup 21,,,,,,,,,,,,,,,,1.7e-05,8e-06,2e-05,1.4e-05,1e-05,1.38e-05,1.39e-05,1.4e-05,1.29e-05,1.26e-05
Subgroup 22,,,,,,,,,,,,,,,,1.2e-05,5e-06,1.5e-05,2.9e-05,1.9e-05,2.58e-05,2.76e-05,2.85e-05,2.06e-05,2.71e-05
Subgroup 26,,,,,,,,,,,,,,,,1.1e-05,2e-06,1.1e-05,1.1e-05,1.7e-05,1.06e-05,1.03e-05,9.3e-06,1.08e-05,1.04e-05
Subgroup 5,,,,,,,,,,,,,,,,,,,,,,4e-07,6e-07,7e-07,4e-07
Subgroup 6,,,,,,,,,,,0.00018,,,,,2.2e-05,5.2e-05,5.9e-05,4.6e-05,9.1e-05,0.0001096,0.0001008,0.0001121,0.000113,6.68e-05
Subgroup 9,,,,,,,,,,,,,,,,,2e-06,,,,1.7e-06,1.6e-06,2.9e-06,2.2e-06,2.5e-06
Subulatomonas,,,,,,,,,,,,,,,,,,,,3e-06,1.1e-06,8e-07,9e-07,1.2e-06,9e-07
Sumerlaeia,,,,,,,,,,,,,,,,,3e-06,,,,1.1e-06,7e-07,8e-07,1e-06,6e-07
Sva0485,,,,,,,,,,,,,,3e-05,,2.9e-05,2.3e-05,2.6e-05,1.6e-05,2.5e-05,3.32e-05,2.79e-05,2.98e-05,3.08e-05,2.73e-05
Synergistia,,,,,,,,,,,,,,,,4e-06,,2e-06,8e-06,2e-06,1.08e-05,1.12e-05,1.19e-05,1.22e-05,1.13e-05
Syntrophia,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Syntrophobacteria,,,,,,,,,,,,6e-05,8e-05,8e-05,0.00011,4.7e-05,2.5e-05,4.2e-05,2.9e-05,3.7e-05,3.4e-05,3.54e-05,3.57e-05,3.63e-05,3.47e-05
Synurophyceae,,,,,,,,,,,,,,,,,,,,,2.5e-06,9e-07,4e-07,9e-07,1e-06
TK10,,,,,,,,,,,,,,,,4e-06,2e-06,,,4e-06,3.7e-06,3.1e-06,3.1e-06,3.9e-06,2.6e-06
TOTO-A6-15,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Taphrinomycetes,,,,,,,,,,,,,,,,,3e-06,,,,9e-07,1.3e-06,1.1e-06,1e-06,1.1e-06
Taphrinomycotina,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,3e-07,,5e-07
Tectomicrobia Unknown Order,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
